Marche;Laboratoire;Molecule;Marque;Dosage_en_mg;Nombre_UCD;DDD_en_mg_par_jour;Nombre_de_jours_de_traitement;Designation;PRO_CIP;Prix_de_vente_2013
DYSFONCTIONNEMENTERECTILE;BIOGARAN;SILDENAFIL;SILDENAFILGx;50;8;50;8;SILDENAFILBIOGARAN50MGCOMPRIME8;2688029;37.95
DYSFONCTIONNEMENTERECTILE;EGLABO;SILDENAFIL;SILDENAFILGx;100;4;50;8;SILDENAFILEG100MGCOMPRIME4;2183157;27.63
DYSFONCTIONNEMENTERECTILE;EGLABO;SILDENAFIL;SILDENAFILGx;100;8;50;16;SILDENAFILEG100MGCOMPRIME8;2183163;48.57
DYSFONCTIONNEMENTERECTILE;EGLABO;SILDENAFIL;SILDENAFILGx;50;4;50;4;SILDENAFILEG50MGCOMPRIME4;2183097;25.40
DYSFONCTIONNEMENTERECTILE;EGLABO;SILDENAFIL;SILDENAFILGx;50;8;50;8;SILDENAFILEG50MGCOMPRIME8;2183105;39.68
DYSFONCTIONNEMENTERECTILE;MYLAN;SILDENAFIL;SILDENAFILGx;100;12;50;24;SILDENAFILMYLAN100MGCOMPRIME12;4980432;50.79
DYSFONCTIONNEMENTERECTILE;MYLAN;SILDENAFIL;SILDENAFILGx;100;4;50;8;SILDENAFILMYLAN100MGCOMPRIME4;4980403;23.69
DYSFONCTIONNEMENTERECTILE;MYLAN;SILDENAFIL;SILDENAFILGx;100;8;50;16;SILDENAFILMYLAN100MGCOMPRIME8;4980426;39.57
DYSFONCTIONNEMENTERECTILE;MYLAN;SILDENAFIL;SILDENAFILGx;25;4;50;2;SILDENAFILMYLAN25MGCOMPRIME4;4980283;24.13
DYSFONCTIONNEMENTERECTILE;MYLAN;SILDENAFIL;SILDENAFILGx;25;8;50;4;SILDENAFILMYLAN25MGCOMPRIME8;4980308;45.16
DYSFONCTIONNEMENTERECTILE;MYLAN;SILDENAFIL;SILDENAFILGx;50;12;50;12;SILDENAFILMYLAN50MGCOMPRIME12;4980372;43.32
DYSFONCTIONNEMENTERECTILE;MYLAN;SILDENAFIL;SILDENAFILGx;50;4;50;4;SILDENAFILMYLAN50MGCOMPRIME4;4980343;25.84
DYSFONCTIONNEMENTERECTILE;MYLAN;SILDENAFIL;SILDENAFILGx;50;8;50;8;SILDENAFILMYLAN50MGCOMPRIME8;4980366;39.72
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;SILDENAFILGx;100;12;50;24;SILDENAFILPFIZER100MGCOMPRIME12;2696253;34.52
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;SILDENAFILGx;100;24;50;48;SILDENAFILPFIZER100MGCOMPRIME24;2696276;56.02
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;SILDENAFILGx;100;4;50;8;SILDENAFILPFIZER100MGCOMPRIME4;2696230;20.78
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;SILDENAFILGx;100;8;50;16;SILDENAFILPFIZER100MGCOMPRIME8;2696247;31.19
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;SILDENAFILGx;50;12;50;12;SILDENAFILPFIZER50MGCOMPRIME12;2696201;30.67
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;SILDENAFILGx;50;24;50;24;SILDENAFILPFIZER50MGCOMPRIME24;2696218;46.50
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;SILDENAFILGx;50;4;50;4;SILDENAFILPFIZER50MGCOMPRIME4;2696187;19.16
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;SILDENAFILGx;50;8;50;8;SILDENAFILPFIZER50MGCOMPRIME8;2696193;27.47
DYSFONCTIONNEMENTERECTILE;RPGRANBAXYPHARMACIEGENERIQ.;SILDENAFIL;SILDENAFILGx;100;4;50;8;SILDENAFILRANBAXY100MGCOMPRIME4;2686237;17.01
DYSFONCTIONNEMENTERECTILE;RPGRANBAXYPHARMACIEGENERIQ.;SILDENAFIL;SILDENAFILGx;50;4;50;4;SILDENAFILRANBAXY50MGCOMPRIME4;2686160;18.83
DYSFONCTIONNEMENTERECTILE;SANDOZSAS;SILDENAFIL;SILDENAFILGx;100;12;50;24;SILDENAFILSANDOZ100MGCOMPRIME12;3995822;40.90
DYSFONCTIONNEMENTERECTILE;SANDOZSAS;SILDENAFIL;SILDENAFILGx;100;28;50;56;SILDENAFILSANDOZ100MGCOMPRIME28;3995868;61.28
DYSFONCTIONNEMENTERECTILE;SANDOZSAS;SILDENAFIL;SILDENAFILGx;100;4;50;8;SILDENAFILSANDOZ100MGCOMPRIME4;3995756;26.92
DYSFONCTIONNEMENTERECTILE;SANDOZSAS;SILDENAFIL;SILDENAFILGx;100;8;50;16;SILDENAFILSANDOZ100MGCOMPRIME8;3995785;39.18
DYSFONCTIONNEMENTERECTILE;SANDOZSAS;SILDENAFIL;SILDENAFILGx;25;4;50;2;SILDENAFILSANDOZ25MGCOMPRIME4;3995325;23.05
DYSFONCTIONNEMENTERECTILE;SANDOZSAS;SILDENAFIL;SILDENAFILGx;25;8;50;4;SILDENAFILSANDOZ25MGCOMPRIME8;3995360;43.33
DYSFONCTIONNEMENTERECTILE;SANDOZSAS;SILDENAFIL;SILDENAFILGx;50;12;50;12;SILDENAFILSANDOZ50MGCOMPRIME12;3995578;37.59
DYSFONCTIONNEMENTERECTILE;SANDOZSAS;SILDENAFIL;SILDENAFILGx;50;4;50;4;SILDENAFILSANDOZ50MGCOMPRIME4;3995503;20.36
DYSFONCTIONNEMENTERECTILE;SANDOZSAS;SILDENAFIL;SILDENAFILGx;50;8;50;8;SILDENAFILSANDOZ50MGCOMPRIME8;3995549;34.42
DYSFONCTIONNEMENTERECTILE;TEVASANTE;SILDENAFIL;SILDENAFILGx;100;12;50;24;SILDENAFILTEVA100MGCOMPRIME12;2686295;47.81
DYSFONCTIONNEMENTERECTILE;TEVASANTE;SILDENAFIL;SILDENAFILGx;100;4;50;8;SILDENAFILTEVA100MGCOMPRIME4;3469513;28.18
DYSFONCTIONNEMENTERECTILE;TEVASANTE;SILDENAFIL;SILDENAFILGx;100;8;50;16;SILDENAFILTEVA100MGCOMPRIME8;3469536;42.85
DYSFONCTIONNEMENTERECTILE;TEVASANTE;SILDENAFIL;SILDENAFILGx;25;4;50;2;SILDENAFILTEVA25MGCOMPRIME4;3469476;28.47
DYSFONCTIONNEMENTERECTILE;TEVASANTE;SILDENAFIL;SILDENAFILGx;25;8;50;4;SILDENAFILTEVA25MGCOMPRIME8;3469482;35.28
DYSFONCTIONNEMENTERECTILE;TEVASANTE;SILDENAFIL;SILDENAFILGx;50;12;50;12;SILDENAFILTEVA50MGCOMPRIME12;2686289;42.28
DYSFONCTIONNEMENTERECTILE;TEVASANTE;SILDENAFIL;SILDENAFILGx;50;4;50;4;SILDENAFILTEVA50MGCOMPRIME4;3469499;24.15
DYSFONCTIONNEMENTERECTILE;TEVASANTE;SILDENAFIL;SILDENAFILGx;50;8;50;8;SILDENAFILTEVA50MGCOMPRIME8;3469507;36.32
DYSFONCTIONNEMENTERECTILE;SANOFIAVENTISFRANCE;SILDENAFIL;SILDENAFILGx;100;12;50;24;SILDENAFILZENTIVA100MGCOMPRIME12;2698016;42.97
DYSFONCTIONNEMENTERECTILE;SANOFIAVENTISFRANCE;SILDENAFIL;SILDENAFILGx;100;2;50;4;SILDENAFILZENTIVA100MGCOMPRIME2;2697979;11.41
DYSFONCTIONNEMENTERECTILE;SANOFIAVENTISFRANCE;SILDENAFIL;SILDENAFILGx;100;4;50;8;SILDENAFILZENTIVA100MGCOMPRIME4;2697985;23.59
DYSFONCTIONNEMENTERECTILE;SANOFIAVENTISFRANCE;SILDENAFIL;SILDENAFILGx;100;8;50;16;SILDENAFILZENTIVA100MGCOMPRIME8;2697991;36.15
DYSFONCTIONNEMENTERECTILE;SANOFIAVENTISFRANCE;SILDENAFIL;SILDENAFILGx;25;4;50;2;SILDENAFILZENTIVA25MGCOMPRIME4;2697815;20.26
DYSFONCTIONNEMENTERECTILE;SANOFIAVENTISFRANCE;SILDENAFIL;SILDENAFILGx;25;8;50;4;SILDENAFILZENTIVA25MGCOMPRIME8;2697821;39.53
DYSFONCTIONNEMENTERECTILE;SANOFIAVENTISFRANCE;SILDENAFIL;SILDENAFILGx;50;12;50;12;SILDENAFILZENTIVA50MGCOMPRIME12;2697910;34.90
DYSFONCTIONNEMENTERECTILE;SANOFIAVENTISFRANCE;SILDENAFIL;SILDENAFILGx;50;2;50;2;SILDENAFILZENTIVA50MGCOMPRIME2;2697873;15.39
DYSFONCTIONNEMENTERECTILE;SANOFIAVENTISFRANCE;SILDENAFIL;SILDENAFILGx;50;4;50;4;SILDENAFILZENTIVA50MGCOMPRIME4;2697896;23.47
DYSFONCTIONNEMENTERECTILE;SANOFIAVENTISFRANCE;SILDENAFIL;SILDENAFILGx;50;8;50;8;SILDENAFILZENTIVA50MGCOMPRIME8;2697904;33.62
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;VIAGRA;100;12;50;24;VIAGRA100MGCOMPRIME12;3484346;126.29
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;VIAGRA;100;2;50;4;VIAGRA100MGCOMPRIME2;3827591;31.04
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;VIAGRA;100;4;50;8;VIAGRA100MGCOMPRIME4;3484317;60.06
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;VIAGRA;100;8;50;16;VIAGRA100MGCOMPRIME8;3484323;108.52
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;VIAGRA;25;4;50;2;VIAGRA25MGCOMPRIME4;3484228;57.76
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;VIAGRA;25;8;50;4;VIAGRA25MGCOMPRIME8;3484234;100.70
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;VIAGRA;50;12;50;12;VIAGRA50MGCOMPRIME12;3484292;112.96
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;VIAGRA;50;2;50;2;VIAGRA50MGCOMPRIME2;3827585;33.37
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;VIAGRA;50;4;50;4;VIAGRA50MGCOMPRIME4;3484263;59.47
DYSFONCTIONNEMENTERECTILE;PFIZER;SILDENAFIL;VIAGRA;50;8;50;8;VIAGRA50MGCOMPRIME8;3484286;96.15
